Date,Day,HoursOfSleep
12/01/2021,Wednesday,7.5
12/02/2021,Thursday,7.18333333333333
12/03/2021,Friday,7.13333333333333
12/04/2021,Saturday,8.18333333333333
12/05/2021,Sunday,7.06666666666667
12/06/2021,Monday,7
12/07/2021,Tuesday,7.68333333333333
12/08/2021,Wednesday,6.38333333333333
12/09/2021,Thursday,7.08333333333333
12/10/2021,Friday,7.25
12/11/2021,Saturday,7.4
12/12/2021,Sunday,6.18333333333333
12/13/2021,Monday,7.9
12/14/2021,Tuesday,6.85
12/15/2021,Wednesday,6.38333333333333
12/16/2021,Thursday,5.76666666666667
12/17/2021,Friday,6.45
12/18/2021,Saturday,7.33333333333333
12/19/2021,Sunday,6.18333333333333
12/20/2021,Monday,6.1
12/21/2021,Tuesday,7.38333333333333
12/22/2021,Wednesday,6.38333333333333
12/23/2021,Thursday,7.46666666666667
12/24/2021,Friday,7.85
12/25/2021,Saturday,5.4
12/26/2021,Sunday,6.55
12/27/2021,Monday,5.75
12/28/2021,Tuesday,5.55
12/29/2021,Wednesday,5.93333333333333
12/30/2021,Thursday,6.3
12/31/2021,Friday,6.6
